date,state,district,pincode,bio_age_5_17,bio_age_17_
25-12-2025,Daman & Diu,Diu,362520,0,1
25-12-2025,Daman & Diu,Diu,362570,0,6
28-12-2025,Daman & Diu,Daman,396210,0,2
28-12-2025,Daman & Diu,Daman,396220,0,2
27-12-2025,Daman & Diu,Daman,396210,0,3
21-12-2025,Daman & Diu,Diu,362570,0,1
11-12-2025,Daman & Diu,Diu,362520,0,1
20-11-2025,Daman & Diu,Daman,396220,0,1
10-11-2025,Daman & Diu,Diu,362570,0,3
01-03-2025,Daman & Diu,Diu,362540,15,48
01-05-2025,Daman & Diu,Diu,362520,11,11
26-10-2025,Daman & Diu,Daman,396220,0,3
01-11-2025,Daman & Diu,Diu,362570,1,3
08-11-2025,Daman & Diu,Diu,362540,2,0
23-10-2025,Daman & Diu,Daman,396220,0,1
18-10-2025,Daman & Diu,Daman,396215,0,1
17-10-2025,Daman & Diu,Diu,362520,0,1
10-07-2025,Daman & Diu,Daman,396220,0,1
10-07-2025,Daman & Diu,Diu,362570,0,1
20-06-2025,Daman & Diu,Daman,396220,0,4
21-06-2025,Daman & Diu,Diu,362540,0,1
02-06-2025,Daman & Diu,Diu,362540,0,4
21-10-2025,Daman & Diu,Daman,396210,0,2
07-07-2025,Daman & Diu,Diu,362520,0,2
20-05-2025,Daman & Diu,Diu,362520,0,2
24-07-2025,Daman & Diu,Daman,396210,0,2
10-06-2025,Daman & Diu,Daman,396210,0,1
10-06-2025,Daman & Diu,Daman,396220,1,0
10-06-2025,Daman & Diu,Diu,362570,0,8
17-06-2025,Daman & Diu,Diu,362520,1,4
14-06-2025,Daman & Diu,Daman,396210,2,7
11-06-2025,Daman & Diu,Daman,396220,0,1
11-06-2025,Daman & Diu,Diu,362520,0,1
13-06-2025,Daman & Diu,Diu,362540,1,0
07-07-2025,Daman & Diu,Diu,362540,0,1
07-07-2025,Daman & Diu,Diu,362570,0,9
