date,state,district,pincode,bio_age_5_17,bio_age_17_
02-12-2025,Westbengal,Hooghly,712232,1,0
02-12-2025,Westbengal,Hooghly,712258,0,1
07-12-2025,Westbengal,Hooghly,712233,0,1
17-12-2025,Westbengal,Hooghly,712233,0,1
18-12-2025,Westbengal,Hooghly,712258,0,1
20-12-2025,Westbengal,Hooghly,712247,0,1
27-11-2025,Westbengal,Hooghly,712247,0,2
29-11-2025,Westbengal,Hooghly,712258,0,1
25-11-2025,Westbengal,Hooghly,712232,0,3
19-11-2025,Westbengal,Hooghly,712258,0,1
07-11-2025,Westbengal,Howrah,711316,0,1
18-11-2025,Westbengal,Hooghly,712247,0,2
23-07-2025,Westbengal,Hooghly,712247,0,1
07-07-2025,Westbengal,Hooghly,712233,0,1
03-07-2025,Westbengal,Hooghly,712247,0,1
23-09-2025,Westbengal,Hooghly,712305,1,0
03-09-2025,Westbengal,Hooghly,712258,0,1
13-11-2025,Westbengal,Howrah,711307,0,1
27-08-2025,Westbengal,Hooghly,712232,0,1
20-05-2025,Westbengal,Hooghly,712233,0,1
23-05-2025,Westbengal,Hooghly,712247,0,1
28-06-2025,Westbengal,Howrah,711316,0,1
29-06-2025,Westbengal,Hooghly,712233,0,1
25-09-2025,Westbengal,Hooghly,712233,0,1
07-09-2025,Westbengal,Hooghly,712233,0,1
10-09-2025,Westbengal,Hooghly,712233,0,1
20-07-2025,Westbengal,Hooghly,712305,1,0
18-12-2025,Westbengal,Hooghly,712232,0,1
20-06-2025,Westbengal,Hooghly,712247,0,1
01-07-2025,Westbengal,Hooghly,712247,0,1
05-06-2025,Westbengal,Hooghly,712233,0,2
11-06-2025,Westbengal,Hooghly,712247,0,1
14-06-2025,Westbengal,Hooghly,712258,0,1
06-12-2025,Westbengal,Hooghly,712305,1,0
02-12-2025,Westbengal,Howrah,711316,0,1
04-12-2025,Westbengal,Hooghly,712232,0,1
08-12-2025,Westbengal,Hooghly,712247,0,1
13-12-2025,Westbengal,Hooghly,712247,0,2
09-12-2025,Westbengal,Hooghly,712232,0,2
09-12-2025,Westbengal,Hooghly,712233,0,1
10-12-2025,Westbengal,Hooghly,712232,0,1
10-12-2025,Westbengal,Hooghly,712305,0,1
